source,target,experimental_score
Msl1,Pih1d1,0.23
Msl1,Ttc4,0.23
Msl2,Kat8,0.134
Msl2,Msl1,0.28
Msl2,Msl3,0.21
Msl2,Msl3l2,0.21
Msl3,Dyrk1b,0.329
Msl3,Kat8,0.112
Msl3,Msl1,0.395
Msl3,Msl2,0.21
Msl3l2,Kat8,0.112
Msl3l2,Msl1,0.395
Msl3l2,Msl2,0.21
Msln,Hmga2,0.292
Msmo1,Erg28,0.125
Msmo1,Fdft1,0.125
Msmo1,Nsdhl,0.058
Msmo1,Sc5d,0.125
Msn,Arfgap1,0.222
Msn,Arhgdia,0.307
Msn,Asns,0.31
Msn,Atic,0.311
Msn,Bid,0.329
Msn,Cd44,0.124
Msn,Ezr,0.339
Msn,Gss,0.307
Msn,Isg15,0.209
Msn,Mapk10,0.222
Msn,Pdia4,0.213
Msn,Pfas,0.207
Msn,Plec,0.222
Msn,Ppm1b,0.222
Msn,Ppp1r2,0.206
Msn,Rdx,0.124
Msn,Selplg,0.199
Msn,Slc9a1,0.222
Msn,Slc9a3r1,0.636
Msn,Spn,0.199
Msn,Stk24,0.222
Msn,Tln1,0.222
Msn,Tsc1,0.23
Msn,Vcl,0.208
Msr1,App,0.053
Msra,Txn1,0.268
Mst1,Mark4,0.292
Mst1,Met,0.276
Mst1,Mst1r,0.559
Mst1,Scrib,0.292
Mst1r,Cbl,0.512
Mst1r,Erbb3,0.326
Mst1r,Fgfr2,0.32
Mstn,Acvr1,0.059
Mstn,Acvr1b,0.075
Mstn,Acvr1c,0.075
Mstn,Acvr2a,0.147
Mstn,Acvr2b,0.147
Mstn,Acvrl1,0.059
Mstn,Bmpr1a,0.059
Mstn,Bmpr1b,0.059
Mstn,Fstl3,0.443
Mstn,Tgfbr1,0.207
Msto1,Hmga2,0.292
Msx1,Dlx2,0.207
Msx1,Ezh2,0.292
Msx1,H1f1,0.292
Msx1,H1f5,0.292
Msx1,Maged1,0.292
Msx1,Mc1r,0.292
Msx1,Mc3r,0.292
Msx1,Mc4r,0.292
Msx1,Mc5r,0.292
Msx1,Ndn,0.292
Msx1,Osr2,0.292
Msx1,Pax9,0.292
Msx1,Pcgf2,0.292
Msx1,Pou2f1,0.292
Msx1,Rnf2,0.292
Msx1,Rybp,0.292
Msx1,Tbp,0.206
Msx1,Tle4,0.292
Msx2,Hdac1,0.292
Msx2,Ndn,0.292
Msx2,Pja1,0.292
Msx2,Runx2,0.292
Msx2,Spen,0.225
mt-Atp6,Atp5a1,0.808
mt-Atp6,Atp5b,0.561
mt-Atp6,Atp5c1,0.808
mt-Atp6,Atp5d,0.808
mt-Atp6,Atp5e,0.808
mt-Atp6,Atp5g1,0.808
mt-Atp6,Atp5g2,0.561
mt-Atp6,Atp5g3,0.559
mt-Atp6,Atp5h,0.808
mt-Atp6,Atp5j,0.565
mt-Atp6,Atp5j2,0.808
mt-Atp6,Atp5k,0.71
mt-Atp6,Atp5l,0.476
mt-Atp6,Atp5o,0.808
mt-Atp6,Atp5pb,0.808
mt-Atp6,Atpif1,0.328
mt-Atp6,Gm5426,0.476
mt-Atp6,mt-Atp8,0.708
mt-Atp8,Atp5a1,0.484
mt-Atp8,Atp5b,0.533
mt-Atp8,Atp5c1,0.45
mt-Atp8,Atp5d,0.572
mt-Atp8,Atp5e,0.499
mt-Atp8,Atp5g1,0.708
mt-Atp8,Atp5g2,0.5
mt-Atp8,Atp5g3,0.511
mt-Atp8,Atp5h,0.751
mt-Atp8,Atp5j,0.533
mt-Atp8,Atp5j2,0.654
mt-Atp8,Atp5k,0.688
mt-Atp8,Atp5l,0.503
mt-Atp8,Atp5o,0.506
mt-Atp8,Atp5pb,0.646
mt-Atp8,Atpif1,0.47
mt-Atp8,Gm5426,0.35
mt-Atp8,mt-Atp6,0.708
mt-Co1,Coa3,0.075
mt-Co1,Cox4i1,0.949
mt-Co1,Cox5a,0.918
mt-Co1,Cox5b,0.938
mt-Co1,Cox6a1,0.453
mt-Co1,Cox6a2,0.939
mt-Co1,Cox6b1,0.935
mt-Co1,Cox6c,0.93
mt-Co1,Cox7a2l,0.9
mt-Co1,Cox7b,0.931
mt-Co1,Cox7c,0.957
mt-Co1,Cox8a,0.399
mt-Co1,Cycs,0.335
mt-Co1,Gm10053,0.335
mt-Co1,mt-Co2,0.96
mt-Co1,mt-Co3,0.96
mt-Co1,Ndufa4,0.335
mt-Co1,Ndufa9,0.512
mt-Co1,Ndufb8,0.379
mt-Co1,Uqcrb,0.898
mt-Co1,Uqcrq,0.952
mt-Co2,Coa6,0.375
mt-Co2,Cox4i1,0.969
mt-Co2,Cox5a,0.974
mt-Co2,Cox5b,0.883
mt-Co2,Cox6a1,0.46
mt-Co2,Cox6b1,0.961
mt-Co2,Cox6c,0.961
mt-Co2,Cox7a2,0.512
mt-Co2,Cox7a2l,0.8
mt-Co2,Cox7b,0.933
mt-Co2,Cox7c,0.938
mt-Co2,Cox8a,0.31
mt-Co2,Cycs,0.335
mt-Co2,Gm10053,0.335
mt-Co2,Htt,0.292
mt-Co2,mt-Co1,0.96
mt-Co2,mt-Co3,0.938
mt-Co2,mt-Nd1,0.376
mt-Co2,Ndufa1,0.376
mt-Co2,Ndufa4,0.354
mt-Co2,Ndufs1,0.38
mt-Co2,Ndufv2,0.38
mt-Co2,Sco1,0.166
mt-Co2,Sco2,0.166
mt-Co2,Uqcrc2,0.911
mt-Co3,Cox4i1,0.898
mt-Co3,Cox5a,0.92
mt-Co3,Cox5b,0.941
mt-Co3,Cox6a1,0.559
mt-Co3,Cox6b1,0.936
mt-Co3,Cox6c,0.834
mt-Co3,Cox7a2,0.399
mt-Co3,Cox7a2l,0.9
mt-Co3,Cox7b,0.864
mt-Co3,Cox7c,0.918
mt-Co3,Cox8a,0.267
mt-Co3,Cycs,0.207
mt-Co3,Gm10053,0.207
mt-Co3,mt-Co1,0.96
mt-Co3,mt-Co2,0.938
mt-Co3,Ndufa4,0.335
mt-Cytb,Cyc1,0.954
mt-Cytb,Cycs,0.137
mt-Cytb,Gm10053,0.137
mt-Cytb,Ndufa9,0.565
mt-Cytb,Uqcr10,0.91
mt-Cytb,Uqcr11,0.937
mt-Cytb,Uqcrb,0.952
mt-Cytb,Uqcrc1,0.938
mt-Cytb,Uqcrc2,0.908
mt-Cytb,Uqcrfs1,0.954
mt-Cytb,Uqcrh,0.881
mt-Cytb,Uqcrq,0.954
mt-Nd1,Hspb2,0.292
mt-Nd1,Lexm,0.292
mt-Nd1,mt-Co2,0.376
mt-Nd1,mt-Nd2,0.917
mt-Nd1,mt-Nd3,0.96
mt-Nd1,mt-Nd4,0.938
mt-Nd1,mt-Nd4l,0.925
mt-Nd1,mt-Nd5,0.917
mt-Nd1,mt-Nd6,0.917
mt-Nd1,Ndufa1,0.933
mt-Nd1,Ndufa10,0.823
mt-Nd1,Ndufa11,0.823
mt-Nd1,Ndufa12,0.96
mt-Nd1,Ndufa13,0.941
mt-Nd1,Ndufa2,0.938
mt-Nd1,Ndufa3,0.917
mt-Nd1,Ndufa5,0.938
mt-Nd1,Ndufa6,0.938
mt-Nd1,Ndufa7,0.906
mt-Nd1,Ndufa8,0.96
mt-Nd1,Ndufa9,0.96
mt-Nd1,Ndufab1,0.967
mt-Nd1,Ndufaf1,0.356
mt-Nd1,Ndufaf2,0.267
mt-Nd1,Ndufb10,0.938
mt-Nd1,Ndufb11,0.846
mt-Nd1,Ndufb2,0.8
mt-Nd1,Ndufb3,0.919
mt-Nd1,Ndufb4,0.823
mt-Nd1,Ndufb5,0.841
mt-Nd1,Ndufb6,0.823
mt-Nd1,Ndufb7,0.938
mt-Nd1,Ndufb8,0.879
mt-Nd1,Ndufb9,0.938
mt-Nd1,Ndufc1,0.804
mt-Nd1,Ndufc2,0.823
mt-Nd1,Ndufs1,0.938
mt-Nd1,Ndufs2,0.96
mt-Nd1,Ndufs3,0.938
mt-Nd1,Ndufs4,0.938
mt-Nd1,Ndufs5,0.877
mt-Nd1,Ndufs6,0.938
mt-Nd1,Ndufs7,0.96
mt-Nd1,Ndufs8,0.96
mt-Nd1,Ndufv1,0.938
mt-Nd1,Ndufv2,0.938
mt-Nd1,Ndufv3,0.844
mt-Nd1,Timmdc1,0.204
mt-Nd2,mt-Nd1,0.917
mt-Nd2,mt-Nd3,0.96
mt-Nd2,mt-Nd4,0.96
mt-Nd2,mt-Nd4l,0.943
mt-Nd2,mt-Nd5,0.96
mt-Nd2,mt-Nd6,0.931
mt-Nd2,Ndufa1,0.833
mt-Nd2,Ndufa10,0.931
mt-Nd2,Ndufa11,0.949
mt-Nd2,Ndufa12,0.919
mt-Nd2,Ndufa13,0.879
mt-Nd2,Ndufa2,0.919
mt-Nd2,Ndufa3,0.844
mt-Nd2,Ndufa5,0.936
mt-Nd2,Ndufa6,0.938
mt-Nd2,Ndufa7,0.87
mt-Nd2,Ndufa8,0.96
mt-Nd2,Ndufa9,0.938
mt-Nd2,Ndufab1,0.966
mt-Nd2,Ndufaf1,0.399
mt-Nd2,Ndufaf2,0.134
mt-Nd2,Ndufb10,0.885
mt-Nd2,Ndufb11,0.864
mt-Nd2,Ndufb2,0.8
mt-Nd2,Ndufb3,0.885
mt-Nd2,Ndufb4,0.872
mt-Nd2,Ndufb5,0.938
mt-Nd2,Ndufb6,0.844
mt-Nd2,Ndufb7,0.919
mt-Nd2,Ndufb8,0.87
mt-Nd2,Ndufb9,0.919
mt-Nd2,Ndufc1,0.817
mt-Nd2,Ndufc2,0.939
mt-Nd2,Ndufs1,0.919
mt-Nd2,Ndufs2,0.96
mt-Nd2,Ndufs3,0.926
mt-Nd2,Ndufs4,0.919
mt-Nd2,Ndufs5,0.931
mt-Nd2,Ndufs6,0.928
mt-Nd2,Ndufs7,0.919
mt-Nd2,Ndufs8,0.938
mt-Nd2,Ndufv1,0.919
mt-Nd2,Ndufv2,0.919
mt-Nd2,Ndufv3,0.874
mt-Nd3,mt-Nd1,0.96
mt-Nd3,mt-Nd2,0.96
mt-Nd3,mt-Nd4,0.938
mt-Nd3,mt-Nd4l,0.96
mt-Nd3,mt-Nd5,0.919
mt-Nd3,mt-Nd6,0.931
mt-Nd3,Ndufa1,0.823
mt-Nd3,Ndufa10,0.872
mt-Nd3,Ndufa11,0.844
mt-Nd3,Ndufa12,0.938
mt-Nd3,Ndufa13,0.941
mt-Nd3,Ndufa2,0.938
mt-Nd3,Ndufa3,0.931
mt-Nd3,Ndufa5,0.938
mt-Nd3,Ndufa6,0.96
mt-Nd3,Ndufa7,0.823
mt-Nd3,Ndufa8,0.938
mt-Nd3,Ndufa9,0.96
mt-Nd3,Ndufab1,0.967
mt-Nd3,Ndufaf1,0.399
mt-Nd3,Ndufaf2,0.267
mt-Nd3,Ndufb10,0.938
mt-Nd3,Ndufb11,0.834
mt-Nd3,Ndufb2,0.8
mt-Nd3,Ndufb3,0.919
mt-Nd3,Ndufb4,0.844
mt-Nd3,Ndufb5,0.844
mt-Nd3,Ndufb6,0.844
mt-Nd3,Ndufb7,0.938
mt-Nd3,Ndufb8,0.883
mt-Nd3,Ndufb9,0.938
mt-Nd3,Ndufc1,0.804
mt-Nd3,Ndufc2,0.844
mt-Nd3,Ndufs1,0.938
mt-Nd3,Ndufs2,0.96
mt-Nd3,Ndufs3,0.96
mt-Nd3,Ndufs4,0.938
mt-Nd3,Ndufs5,0.929
mt-Nd3,Ndufs6,0.938
mt-Nd3,Ndufs7,0.96
mt-Nd3,Ndufs8,0.938
mt-Nd3,Ndufv1,0.938
mt-Nd3,Ndufv2,0.938
mt-Nd3,Ndufv3,0.844
mt-Nd4,Ecsit,0.204
mt-Nd4,Hspb2,0.292
mt-Nd4,mt-Nd1,0.938
mt-Nd4,mt-Nd2,0.96
mt-Nd4,mt-Nd3,0.938
mt-Nd4,mt-Nd4l,0.923
mt-Nd4,mt-Nd5,0.96
mt-Nd4,mt-Nd6,0.844
mt-Nd4,Ndufa1,0.853
mt-Nd4,Ndufa10,0.931
mt-Nd4,Ndufa11,0.954
mt-Nd4,Ndufa12,0.938
mt-Nd4,Ndufa13,0.887
mt-Nd4,Ndufa2,0.938
mt-Nd4,Ndufa3,0.844
mt-Nd4,Ndufa5,0.938
mt-Nd4,Ndufa6,0.938
mt-Nd4,Ndufa7,0.854
mt-Nd4,Ndufa8,0.96
mt-Nd4,Ndufa9,0.938
mt-Nd4,Ndufab1,0.967
mt-Nd4,Ndufaf2,0.267
mt-Nd4,Ndufb10,0.96
mt-Nd4,Ndufb11,0.935
mt-Nd4,Ndufb2,0.8
mt-Nd4,Ndufb3,0.931
mt-Nd4,Ndufb4,0.931
mt-Nd4,Ndufb5,0.947
mt-Nd4,Ndufb6,0.929
mt-Nd4,Ndufb7,0.938
mt-Nd4,Ndufb8,0.941
mt-Nd4,Ndufb9,0.96
mt-Nd4,Ndufc1,0.804
mt-Nd4,Ndufc2,0.938
mt-Nd4,Ndufs1,0.938
mt-Nd4,Ndufs2,0.96
mt-Nd4,Ndufs3,0.938
mt-Nd4,Ndufs4,0.938
mt-Nd4,Ndufs5,0.898
mt-Nd4,Ndufs6,0.938
mt-Nd4,Ndufs7,0.937
mt-Nd4,Ndufs8,0.938
mt-Nd4,Ndufv1,0.938
mt-Nd4,Ndufv2,0.938
mt-Nd4,Ndufv3,0.87
mt-Nd4,Timmdc1,0.204
mt-Nd4l,mt-Nd1,0.925
mt-Nd4l,mt-Nd2,0.943
mt-Nd4l,mt-Nd3,0.96
mt-Nd4l,mt-Nd4,0.923
mt-Nd4l,mt-Nd5,0.943
mt-Nd4l,mt-Nd6,0.931
mt-Nd4l,Ndufa1,0.823
mt-Nd4l,Ndufa10,0.844
mt-Nd4l,Ndufa11,0.875
mt-Nd4l,Ndufa12,0.911
mt-Nd4l,Ndufa13,0.875
mt-Nd4l,Ndufa2,0.911
mt-Nd4l,Ndufa3,0.844
mt-Nd4l,Ndufa5,0.909
mt-Nd4l,Ndufa6,0.911
mt-Nd4l,Ndufa7,0.823
mt-Nd4l,Ndufa8,0.91
mt-Nd4l,Ndufa9,0.911
mt-Nd4l,Ndufab1,0.965
mt-Nd4l,Ndufb10,0.91
mt-Nd4l,Ndufb11,0.834
mt-Nd4l,Ndufb2,0.8
mt-Nd4l,Ndufb3,0.844
mt-Nd4l,Ndufb4,0.844
mt-Nd4l,Ndufb5,0.844
mt-Nd4l,Ndufb6,0.844
mt-Nd4l,Ndufb7,0.911
mt-Nd4l,Ndufb8,0.834
mt-Nd4l,Ndufb9,0.911
mt-Nd4l,Ndufc1,0.804
mt-Nd4l,Ndufc2,0.844
mt-Nd4l,Ndufs1,0.911
mt-Nd4l,Ndufs2,0.96
mt-Nd4l,Ndufs3,0.926
mt-Nd4l,Ndufs4,0.911
mt-Nd4l,Ndufs5,0.931
mt-Nd4l,Ndufs6,0.908
mt-Nd4l,Ndufs7,0.854
mt-Nd4l,Ndufs8,0.934
mt-Nd4l,Ndufv1,0.911
mt-Nd4l,Ndufv2,0.91
mt-Nd4l,Ndufv3,0.844
mt-Nd5,Hspb2,0.292
mt-Nd5,mt-Nd1,0.917
mt-Nd5,mt-Nd2,0.96
mt-Nd5,mt-Nd3,0.919
mt-Nd5,mt-Nd4,0.96
mt-Nd5,mt-Nd4l,0.943
mt-Nd5,mt-Nd6,0.876
mt-Nd5,Ndufa1,0.858
mt-Nd5,Ndufa10,0.844
mt-Nd5,Ndufa11,0.954
mt-Nd5,Ndufa12,0.938
mt-Nd5,Ndufa13,0.879
mt-Nd5,Ndufa2,0.919
mt-Nd5,Ndufa3,0.844
mt-Nd5,Ndufa5,0.919
mt-Nd5,Ndufa6,0.938
mt-Nd5,Ndufa7,0.852
mt-Nd5,Ndufa8,0.938
mt-Nd5,Ndufa9,0.938
mt-Nd5,Ndufab1,0.982
mt-Nd5,Ndufaf1,0.208
mt-Nd5,Ndufaf2,0.134
mt-Nd5,Ndufb10,0.943
mt-Nd5,Ndufb11,0.935
mt-Nd5,Ndufb2,0.9
mt-Nd5,Ndufb3,0.942
mt-Nd5,Ndufb4,0.931
mt-Nd5,Ndufb5,0.944
mt-Nd5,Ndufb6,0.931
mt-Nd5,Ndufb7,0.96
mt-Nd5,Ndufb8,0.935
mt-Nd5,Ndufb9,0.96
mt-Nd5,Ndufc1,0.804
mt-Nd5,Ndufc2,0.871
mt-Nd5,Ndufs1,0.919
mt-Nd5,Ndufs2,0.96
mt-Nd5,Ndufs3,0.938
mt-Nd5,Ndufs4,0.938
mt-Nd5,Ndufs5,0.898
mt-Nd5,Ndufs6,0.921
mt-Nd5,Ndufs7,0.932
mt-Nd5,Ndufs8,0.938
mt-Nd5,Ndufv1,0.938
mt-Nd5,Ndufv2,0.938
mt-Nd5,Ndufv3,0.871
mt-Nd6,Acad9,0.204
mt-Nd6,mt-Nd1,0.917
mt-Nd6,mt-Nd2,0.931
mt-Nd6,mt-Nd3,0.931
mt-Nd6,mt-Nd4,0.844
mt-Nd6,mt-Nd4l,0.931
mt-Nd6,mt-Nd5,0.876
mt-Nd6,Ndufa1,0.917
mt-Nd6,Ndufa10,0.875
mt-Nd6,Ndufa11,0.876
mt-Nd6,Ndufa12,0.844
mt-Nd6,Ndufa13,0.912
mt-Nd6,Ndufa2,0.844
mt-Nd6,Ndufa3,0.931
mt-Nd6,Ndufa5,0.842
mt-Nd6,Ndufa6,0.844
mt-Nd6,Ndufa7,0.823
mt-Nd6,Ndufa8,0.844
mt-Nd6,Ndufa9,0.931
mt-Nd6,Ndufab1,0.956
mt-Nd6,Ndufaf3,0.204
mt-Nd6,Ndufb10,0.844
mt-Nd6,Ndufb11,0.834
mt-Nd6,Ndufb2,0.8
mt-Nd6,Ndufb3,0.844
mt-Nd6,Ndufb4,0.844
mt-Nd6,Ndufb5,0.928
mt-Nd6,Ndufb6,0.844
mt-Nd6,Ndufb7,0.844
mt-Nd6,Ndufb8,0.834
mt-Nd6,Ndufb9,0.844
mt-Nd6,Ndufc1,0.804
mt-Nd6,Ndufc2,0.874
mt-Nd6,Ndufs1,0.844
mt-Nd6,Ndufs2,0.844
mt-Nd6,Ndufs3,0.898
mt-Nd6,Ndufs4,0.844
mt-Nd6,Ndufs5,0.954
mt-Nd6,Ndufs6,0.823
mt-Nd6,Ndufs7,0.844
mt-Nd6,Ndufs8,0.844
mt-Nd6,Ndufv1,0.844
mt-Nd6,Ndufv2,0.844
mt-Nd6,Ndufv3,0.844
Mta1,Cdk2ap1,0.074
Mta1,Cdkn2a,0.292
Mta1,Cenpc1,0.292
Mta1,Chaf1a,0.292
Mta1,Chd3,0.117
Mta1,Chd4,0.115
Mta1,Chd5,0.115
Mta1,Chd7,0.292
Mta1,Eed,0.292
Mta1,Ehmt2,0.292
Mta1,Esrrb,0.292
Mta1,Fosb,0.292
Mta1,Gatad2a,0.16
Mta1,Gatad2b,0.151
Mta1,Gm12184,0.074
Mta1,Hdac1,0.657
Mta1,Hdac2,0.473
Mta1,Hopx,0.292
Mta1,Mbd2,0.207
Mta1,Mbd3,0.415
Mta1,Mbd3l1,0.207
Mta1,Mbd3l2,0.123
Mta1,Mecp2,0.123
Mta1,Mta2,0.467
Mta1,Mta3,0.146
Mta1,Nanog,0.457
Mta1,Pou5f1,0.457
Mta1,Rbbp4,0.292
Mta1,Rbbp7,0.477
Mta1,Rela,0.292
Mta1,Rnf2,0.292
Mta1,Runx1,0.292
Mta1,Sall4,0.292
Mta1,Satb2,0.292
Mta1,Set,0.292
Mta1,Sh3gl3,0.292
Mta1,Six3,0.292
Mta1,Sox2,0.292
Mta1,Tfcp2l1,0.292
Mta1,Zfpm1,0.292
Mta2,Cdk2ap1,0.059
Mta2,Cenpc1,0.292
Mta2,Chd3,0.124
Mta2,Chd4,0.467
Mta2,Chd5,0.125
Mta2,Chd7,0.292
Mta2,Ctbp1,0.287
Mta2,Eed,0.292
Mta2,Esrrb,0.292
Mta2,Gata1,0.292
Mta2,Gatad2a,0.155
Mta2,Gatad2b,0.144
Mta2,Gm12184,0.059
Mta2,Hdac1,0.515
Mta2,Hdac2,0.515
Mta2,Hmga2,0.292
Mta2,Hopx,0.292
Mta2,Klf5,0.292
Mta2,L3mbtl2,0.292
Mta2,Mbd2,0.407
Mta2,Mbd3l1,0.197
Mta2,Mbd3l2,0.123
Mta2,Mecp2,0.123
Mta2,Mta1,0.467
Mta2,Mta3,0.14
Mta2,Nanog,0.457
Mta2,Nr4a1,0.292
Mta2,Pou5f1,0.457
Mta2,Rbbp4,0.442
Mta2,Runx1,0.292
Mta2,Sall4,0.292
Mta2,Satb2,0.457
Mta2,Sox2,0.292
Mta2,Tfcp2l1,0.292
Mta2,Unk,0.292
Mta2,Zbtb7a,0.292
Mta2,Zfpm1,0.292
Mta3,Cdk2ap1,0.059
Mta3,Cdk2ap2,0.056
Mta3,Chaf1a,0.292
Mta3,Chd3,0.121
Mta3,Chd4,0.126
Mta3,Chd5,0.305
Mta3,Eed,0.292
Mta3,Esrrb,0.292
Mta3,Gatad2a,0.142
Mta3,Gatad2b,0.203
Mta3,Gm12184,0.059
Mta3,Hdac1,0.144
Mta3,Hdac2,0.144
Mta3,Hopx,0.292
Mta3,Kdm1a,0.292
Mta3,L3mbtl2,0.292
Mta3,Mbd2,0.197
Mta3,Mbd3,0.197
Mta3,Mbd3l1,0.197
Mta3,Mta1,0.146
Mta3,Mta2,0.14
Mta3,Nanog,0.457
Mta3,Pou5f1,0.457
Mta3,Rbbp4,0.244
Mta3,Rbbp7,0.244
Mta3,Sall4,0.292
Mta3,Tfcp2l1,0.292
Mtap,Anxa6,0.307
Mtap,Cuta,0.222
Mtap,Gmps,0.315
Mtap,Hprt,0.277
Mtap,Kcnma1,0.292
Mtap,Mtpn,0.329
Mtap,Pdia3,0.222
Mtap,Pnp,0.311
Mtap,Ube2h,0.222
Mtap,Urod,0.222
Mtch2,Eed,0.292
Mtch2,Hspb2,0.292
Mtcl1,Ier5,0.452
Mtcl1,Ska1,0.452
Mtdh,Snd1,0.602
Mtdh,Tardbp,0.292
Mterf3,Ddx28,0.058
Mterf3,Fastkd2,0.125
Mterf3,Mrpl4,0.2
Mterf3,Trub2,0.111
Mterf4,Mrpl12,0.342
Mterf4,Mrpl58,0.355
Mterf4,Nsun4,0.559
Mtf1,Nr4a3,0.232
Mtf1,Rnf14,0.18
Mtf2,Eed,0.516
Mtf2,Ell,0.292
Mtf2,Epop,0.292
Mtf2,Ezh1,0.431
Mtf2,Ezh2,0.467
Mtf2,Ice1,0.292
Mtf2,Jarid2,0.543
Mtf2,Nap1l2,0.23
Mtf2,Rbbp4,0.384
Mtf2,Rbbp7,0.165
Mtf2,Stk38,0.292
Mtf2,Suz12,0.581
Mtf2,Trim35,0.292
Mtfp1,Hspb2,0.292
Mtfr1l,Armc1,0.236
Mtg1,Mrpl12,0.322
Mtg1,Mrpl58,0.355
Mtg1,Ranbp2,0.24
Mtg2,Mrpl12,0.324
Mtg2,Mrpl17,0.344
Mthfd1,Dcun1d1,0.222
Mthfd1,Eed,0.292
Mthfd1,Gart,0.058
Mthfd1,Hmga2,0.292
Mthfd1,Hsp90ab1,0.21
Mthfd1,Iars2,0.326
Mthfd1,Mat2a,0.222
Mthfd1,Myg1,0.323
Mthfd1,Psat1,0.328
Mthfd1,Rps21,0.211
Mthfd1,Ubqln1,0.207
Mthfd1l,Eed,0.292
Mthfd1l,Gart,0.058
Mthfd2,Mthfd2l,0.125
Mthfd2l,Mthfd2,0.125
Mthfs,Ube2i,0.292
Mthfsd,Cul2,0.222
Mtif2,Aurkaip1,0.379
Mtif2,Chchd1,0.379
Mtif2,Dap3,0.569
Mtif2,Gadd45gip1,0.267
Mtif2,Mrpl1,0.253
Mtif2,Mrpl10,0.381
Mtif2,Mrpl11,0.558
Mtif2,Mrpl12,0.39
Mtif2,Mrpl13,0.381
Mtif2,Mrpl14,0.382
Mtif2,Mrpl15,0.381
Mtif2,Mrpl16,0.382
Mtif2,Mrpl17,0.404
Mtif2,Mrpl18,0.379
Mtif2,Mrpl19,0.404
Mtif2,Mrpl2,0.379
Mtif2,Mrpl20,0.404
Mtif2,Mrpl21,0.396
Mtif2,Mrpl22,0.381
Mtif2,Mrpl23,0.207
Mtif2,Mrpl24,0.381
Mtif2,Mrpl27,0.404
Mtif2,Mrpl28,0.381
Mtif2,Mrpl3,0.381
Mtif2,Mrpl30,0.379
Mtif2,Mrpl32,0.404
Mtif2,Mrpl33,0.404
Mtif2,Mrpl34,0.379
Mtif2,Mrpl35,0.379
Mtif2,Mrpl36,0.394
Mtif2,Mrpl37,0.283
Mtif2,Mrpl38,0.267
Mtif2,Mrpl39,0.381
Mtif2,Mrpl4,0.381
Mtif2,Mrpl40,0.267
Mtif2,Mrpl41,0.267
Mtif2,Mrpl42,0.381
Mtif2,Mrpl43,0.381
Mtif2,Mrpl44,0.381
Mtif2,Mrpl46,0.381
Mtif2,Mrpl47,0.381
Mtif2,Mrpl48,0.381
Mtif2,Mrpl49,0.381
Mtif2,Mrpl50,0.267
Mtif2,Mrpl51,0.379
Mtif2,Mrpl52,0.379
Mtif2,Mrpl53,0.3
Mtif2,Mrpl54,0.157
Mtif2,Mrpl55,0.267
Mtif2,Mrpl57,0.267
Mtif2,Mrpl58,0.406
Mtif2,Mrpl9,0.404
Mtif2,Mrps10,0.381
Mtif2,Mrps11,0.386
Mtif2,Mrps12,0.389
Mtif2,Mrps14,0.562
Mtif2,Mrps15,0.562
Mtif2,Mrps16,0.45
Mtif2,Mrps17,0.377
Mtif2,Mrps18a,0.286
Mtif2,Mrps18b,0.381
Mtif2,Mrps18c,0.381
Mtif2,Mrps2,0.381
Mtif2,Mrps21,0.382
Mtif2,Mrps22,0.381
Mtif2,Mrps23,0.381
Mtif2,Mrps24,0.382
Mtif2,Mrps25,0.383
Mtif2,Mrps26,0.381
Mtif2,Mrps27,0.381
Mtif2,Mrps28,0.381
Mtif2,Mrps30,0.381
Mtif2,Mrps31,0.381
Mtif2,Mrps33,0.381
Mtif2,Mrps34,0.381
Mtif2,Mrps35,0.381
Mtif2,Mrps5,0.405
Mtif2,Mrps6,0.376
Mtif2,Mrps7,0.382
Mtif2,Mrps9,0.45
Mtif2,Mtif3,0.283
Mtif2,Polr1b,0.059
Mtif2,Ptcd3,0.381
Mtif2,Ybey,0.241
Mtif3,Aurkaip1,0.267
Mtif3,Chchd1,0.267
Mtif3,Dap3,0.283
Mtif3,Mrps10,0.283
Mtif3,Mrps11,0.286
Mtif3,Mrps12,0.267
Mtif3,Mrps14,0.283
Mtif3,Mrps15,0.267
Mtif3,Mrps16,0.283
Mtif3,Mrps17,0.215
Mtif3,Mrps18b,0.283
Mtif3,Mrps18c,0.286
Mtif3,Mrps2,0.283
Mtif3,Mrps21,0.286
Mtif3,Mrps22,0.283
Mtif3,Mrps23,0.283
Mtif3,Mrps24,0.283
Mtif3,Mrps25,0.283
Mtif3,Mrps26,0.283
Mtif3,Mrps27,0.283
Mtif3,Mrps28,0.283
Mtif3,Mrps31,0.283
Mtif3,Mrps33,0.283
Mtif3,Mrps34,0.283
Mtif3,Mrps35,0.283
Mtif3,Mrps5,0.283
Mtif3,Mrps6,0.215
Mtif3,Mrps7,0.283
Mtif3,Mrps9,0.283
Mtif3,Mtif2,0.283
Mtif3,Ptcd3,0.283
Mtm1,Bin1,0.457
Mtm1,Brsk2,0.372
Mtm1,Des,0.292
Mtm1,Mtmr12,0.222
Mtm1,Ryr1,0.186
Mtmr1,Cep250,0.222
Mtmr1,Mtmr2,0.063
Mtmr1,Sbf1,0.069
Mtmr1,Sbf2,0.069
Mtmr12,Mtm1,0.222
Mtmr12,Mtmr2,0.222
Mtmr12,Ywhab,0.222
Mtmr2,Ehd4,0.222
Mtmr2,Mtmr1,0.063
Mtmr2,Mtmr12,0.222
Mtmr2,Sbf1,0.229
